1266.3,232.7
1266.3,320.63
1266.3,407.7
1266.3,495.64
1266.3,582.7
1266.3,670.63
1266.3,757.7
1266.3,845.63
1178.4,232.7
1178.5,320.5
1178.5,408
1178.5,495.5
1178.5,583
1178.5,670.5
1178.5,758
1178.3,845.65
1091.3,232.7
1091,320.5
1091,408
1091,495.5
1091,583
1091,670.5
1091,758
1091.3,845.63
1003.4,232.7
1003.5,320.5
1003.5,408
1003.5,495.5
1003.5,583
1003.5,670.5
1003.5,758
1003.3,845.65
916.3,232.7
916,320.5
916,408
916,495.5
916,583
916,670.5
916,758
916.3,845.64
828.37,232.7
828.5,320.5
828.5,407.99
828.5,495.5
828.5,583
828.5,670.5
828.5,758
828.35,845.65
741.3,232.7
741,320.5
741,408
741,495.5
741,583
741,670.5
741,758
741.3,845.63
653.37,232.7
653.35,320.65
653.37,407.7
653.35,495.65
653.36,582.7
653.35,670.65
653.37,757.7
653.35,845.65
